Type,Sex,First Name,Last Name,Email,Job Title (Fix),Initials,Mobile Phone,Callsign,Skills,Organisation,Office Phone,Training:ABH 101,Training:ABH 102,Training:SAR 101,Training:SAR 201 P,Address, Home Postcode, Home Country, Home L1, Home L2, Home L3, Home L4, Home Lat, Home Lon,Teams, Office Country, Office L1, Office L2
Staff,male,Christopher,Heineman,user33@culvercitycert.com,,,,,,County of Hawaii,212-5117975,,,Yes,Yes,,1 Saddle Rd,United States,Hawaii,Hawaii,,,,,,United States,Hawaii,Hawaii
Staff,male,Andy,Sakai,user8@culvercitycert.com,,,,,,County of Hawaii,212 2936982,,,,,,,United States,Hawaii,Honolulu,,,,,,United States,Hawaii,Honolulu
Staff,female,Christine,Rathan,user35@culvercitycert.com,,,,,,County of Hawaii,2164358068,Yes,Yes,,,,,United States,Hawaii,Kalawao,,,,,,United States,Hawaii,Kalawao
Staff,,Ai,Grimes,user21@culvercitycert.com,,,,,,United Way,0212 252 44 33,,,Yes,Yes,,,United States,Hawaii,Kauai,,,,,,United States,Hawaii,Kauai
Staff,male,Carl,Cardenas,user33@culvercitycert.com,,,,,,United Way,0232-7251200,,,Yes,Yes,,,United States,Hawaii,Maui,,,,,,United States,Hawaii,Maui
Staff,male,Jim,Paul,user8@culvercitycert.com,,,,,,United Way,0216 709 08 80,,,Yes,Yes,,10 Saddle Rd,United States,Hawaii,Hawaii,,,,,,United States,Hawaii,Hawaii
Staff,female,Caroline,O_Neal,user35@culvercitycert.com,,,,,,County of Hawaii,2163362262,,,Yes,Yes,,,United States,Hawaii,Hawaii,,,,,,United States,Hawaii,Hawaii
Staff,,Pam,Baxendale,user21@culvercitycert.com,,,,,,County of Hawaii,212.251 58 50,Yes,Yes,,,,,United States,Hawaii,Honolulu,,,,,,United States,Hawaii,Honolulu
Staff,male,Dick,Dailey,user31@culvercitycert.com,,,,,,County of Hawaii,0 216 521 8080,,,Yes,Yes,,,United States,Hawaii,Kalawao,,,,,,United States,Hawaii,Kalawao
Staff,male,Randy,Li,user53@culvercitycert.com,,,,,,United Way,212 296 54 90,Yes,Yes,Yes,Yes,,,United States,Hawaii,Kauai,,,,,,United States,Hawaii,Kauai
Staff,male,Adrian,Lundquist,user29@culvercitycert.com,,,,,,United Way,2125344133,,,Yes,Yes,,50 Saddle Rd,United States,Hawaii,Hawaii,,,,,,United States,Hawaii,Hawaii
Staff,female,Ada,Finn,user30@culvercitycert.com,,,,,,United Way,5062090559,,,Yes,Yes,,,United States,Hawaii,Honolulu,,,,,,United States,Hawaii,Honolulu
Staff,male,Adam,Reichel,user16@culvercitycert.com,,,,,,County of Hawaii,2164289666,,,Yes,Yes,,,United States,Hawaii,Kalawao,,,,,,United States,Hawaii,Kalawao
Staff,male,Charles,Robinson,user1@culvercitycert.com,,,,,,County of Hawaii,2122828916,Yes,Yes,Yes,Yes,,,United States,Hawaii,Kauai,,,,,,United States,Hawaii,Kauai
Staff,male,Adrian,Johnson,user2@culvercitycert.com,,,,,,County of Hawaii,5076813000,,,Yes,Yes,,,United States,Hawaii,Maui,,,,,,United States,Hawaii,Maui
Staff,male,Alex,Sabihon,user3@culvercitycert.com,,,,,,United Way,0 312 425 67 65,Yes,Yes,Yes,,,100 Saddle Rd,United States,Hawaii,Hawaii,,,,,,,,
Staff,male,Anupam,Sakai,user4@culvercitycert.com,,,,,,County of Hawaii,(0212) 533 65 32/1219,Yes,Yes,,,,,United States,Hawaii,Hawaii,,,,,,,,
Staff,female,Vanessa,Mazariegos,user5@culvercitycert.com,,,,,,County of Hawaii,5074257770,Yes,Yes,Yes,Yes,,,United States,Hawaii,Honolulu,,,,,,,,
Volunteer,female,Vitalicia,Jose Galvez,1@volunteer.org,,,,,,United Way,,Yes,Yes,Yes,Yes,,,United States,Hawaii,Kalawao,,,,,,,,
Volunteer,female,Azalia,Rene Galvez,2@volunteer.org,,,,,,County of Hawaii,,,,Yes,Yes,,,United States,Hawaii,Kauai,,,,,,,,
Volunteer,female,Susannah,Michela,3@volunteer.org,,,,,,County of Hawaii,,Yes,Yes,,,,,United States,Hawaii,Hawaii,,,,,,,,
Volunteer,male,Benjamin,Friese,4@volunteer.org,,,,,,United Way,,Yes,Yes,Yes,Yes,,,United States,Hawaii,Honolulu,,,,,,,,
Volunteer,,Hans,Yanda,5@volunteer.org,,,,,,County of Hawaii,,,,Yes,Yes,,,United States,Hawaii,Kalawao,,,,,,,,
Volunteer,,Billie,Behnke,6@volunteer.org,,,,,,County of Hawaii,,Yes,Yes,Yes,Yes,,,United States,Hawaii,Kauai,,,,,,,,
Volunteer,male,Gerald,Turner,7@volunteer.org,,,,,,United Way,,,,Yes,Yes,,,United States,Hawaii,Maui,,,,,,,,
Volunteer,female,Jane,Judge,8@volunteer.org,,,,,,County of Hawaii,,,,,,,150 Saddle Rd,United States,Hawaii,Hawaii,,,,,,,,
Volunteer,male,Marlene,Enzen,9@volunteer.org,,,,,,County of Hawaii,,Yes,Yes,Yes,Yes,,,United States,Hawaii,Hawaii,,,,,,,,
Volunteer,female,Michelle,Paul,10@volunteer.org,,,,,,United Way,,Yes,Yes,Yes,Yes,,,United States,Hawaii,Honolulu,,,,,,,,
Volunteer,female,Marie,Funnell,11@volunteer.org,,,,,,County of Hawaii,,,,Yes,,,,United States,Hawaii,Kalawao,,,,,,,,
Volunteer,female,Catherine,Giza,12@volunteer.org,,,,,,County of Hawaii,,Yes,Yes,Yes,Yes,,,United States,Hawaii,Kauai,,,,,,,,
Volunteer,female,Christy,Biglin,13@volunteer.org,,,,,,United Way,,,,,,,200 Saddle Rd,United States,Hawaii,Hawaii,,,,,,,,
Volunteer,female,Christina,Jain,14@volunteer.org,,,,,,County of Hawaii,,,,Yes,Yes,,,United States,Hawaii,Honolulu,,,,,,,,
Volunteer,female,Carol,Harvey,15@volunteer.org,,,,,,County of Hawaii,,Yes,Yes,,,,,United States,Hawaii,Kalawao,,,,,,,,
Volunteer,female,Carol,Sandoval,16@volunteer.org,,,,,,United Way,,,,Yes,Yes,,,United States,Hawaii,Kauai,,,,,,,,
Volunteer,male,Christopher,Spielmann,17@volunteer.org,,,,,,County of Hawaii,,Yes,Yes,,,,,United States,Hawaii,Maui,,,,,,,,
Volunteer,female,Christina,Buchanan,18@volunteer.org,,,,,,County of Hawaii,,,,Yes,Yes,,250 Saddle Rd,United States,Hawaii,Hawaii,,,,,,,,
Volunteer,female,Claudia,Leonard,19@volunteer.org,,,,,,United Way,,Yes,Yes,Yes,Yes,,,United States,Hawaii,Hawaii,,,,,,,,
Volunteer,female,Christine,Barkley,20@volunteer.org,,,,,,County of Hawaii,,,,,,,,United States,Hawaii,Honolulu,,,,,,,,
Volunteer,female,Cindy,Keow Wong,21@volunteer.org,,,,,,County of Hawaii,,,,Yes,,,,United States,Hawaii,Kalawao,,,,,,,,
Volunteer,,Connor,Bozek,22@volunteer.org,,,,,,United Way,,,,,,,,United States,Hawaii,Kauai,,,,,,,,
Volunteer,female,Jody,Brown,23@volunteer.org,,,,,,County of Hawaii,,Yes,Yes,Yes,Yes,,500 Saddle Rd,United States,Hawaii,Hawaii,,,,,,,,
Volunteer,,Chris,Cropley,24@volunteer.org,,,,,,County of Hawaii,,,,Yes,,,,United States,Hawaii,Honolulu,,,,,,,,
Volunteer,male,Craig,Packard,25@volunteer.org,,,,,,United Way,,Yes,Yes,Yes,Yes,,,United States,Hawaii,Kalawao,,,,,,,,
Volunteer,female,Christine,Aranzazu,26@volunteer.org,,,,,,County of Hawaii,,,,Yes,Yes,,,United States,Hawaii,Kauai,,,,,,,,
Volunteer,female,Cheri,Reynolds,27@volunteer.org,,,,,,County of Hawaii,,Yes,Yes,Yes,Yes,,,United States,Hawaii,Maui,,,,,,,,
